Num_Workers_On_Site	Avg_Experience_Years	Weather_Severity_Index	Equipment_Age_Years	Safety_Training_Hours_Year	Near_Miss_Reports_Last_Month	Overtime_Ratio	Compliance_Score	Risk_Level
39	7.84	0.47	2.02	18.71	1	0.192	10	Low
142	3.21	6.4	1.1	0.23	2	0.211	7.93	High
78	3.7	5.23	3.24	13.33	1	0.553	10	High
23	3.14	3.14	1.69	12.95	2	0.227	5.12	Medium
137	3.56	4.03	8.47	5.86	5	0.546	10	High
57	5.18	0.58	1.79	24.54	4	0.646	10	Medium
143	6.16	3.81	21.25	6.36	2	0.52	3.36	High
26	9.96	1.49	10.25	24.1	4	0.333	8.15	High
40	1.9	1.13	1.7	25.27	3	0.363	7.54	Low
71	7.2	3.89	4.15	27.56	5	0.27	6.16	Low
183	4.38	1.8	2.13	9.44	1	0.756	9.08	Low
104	13.03	1.69	3.93	28.8	1	0.244	6.96	Low
165	3.33	2.02	1.18	35.61	3	0.667	8.04	Medium
80	3.65	1.08	12.66	12.74	6	0.291	4.98	Medium
184	6.67	6.35	10.39	13.31	2	0.729	8.91	Medium
144	1.6	4.7	1.03	30.29	1	0.57	7.2	Medium
87	7.54	1.59	4.67	22.34	1	0.26	6.28	Low
23	6.03	2.06	3.65	23.3	4	0.221	10	Low
27	3.1	0.47	0.34	22.05	2	0.266	3.02	Low
148	7.54	5.92	0.72	15.49	1	0.108	8.21	Low
125	11.61	3.66	1.26	19.01	6	0.271	5.9	Medium
149	9.17	3.27	5.06	18.72	4	0.59	7.07	High
113	14.21	1.34	0.55	17.31	5	0.503	4.16	High
52	9.64	3.77	0.2	18.89	2	0.327	9.65	Low
183	2.9	3.62	2.26	11.04	3	0.745	7.09	Medium
101	8.8	0.3	13.62	13.43	7	0.297	5.77	High
54	4.99	2.14	3.23	26.85	3	0.333	6.69	Low
161	2.94	2.96	6.97	25.88	2	0.255	3.11	High
200	10.92	5.77	4.54	22.01	5	0.161	7.01	Low
46	6.73	2.47	4.56	12.71	1	0.435	6.65	Low
179	3.97	4.64	8.33	18.47	1	0.256	7.28	High
184	9	1.11	14.02	1.68	4	0.208	10	Low
140	5.8	1.37	2.27	32.08	5	0.578	6.07	Medium
69	3.53	1.17	9.24	34.24	3	0.501	8.74	Low
57	3.47	0.83	5.86	14.13	2	0.319	3.34	High
123	0.5	0.07	5.94	20.46	2	0.307	5.31	Medium
167	7.47	2.17	1.2	23.61	1	0.263	10	Low
80	6.89	7.24	3.84	29.32	4	0.604	7.93	High
159	5.1	0.8	3.62	10.71	5	0.313	3.26	High
112	9.68	0.66	8.22	24.25	4	0.311	6.64	Medium
57	9.77	5.37	1.22	13.19	4	0.431	6.44	Medium
173	7.38	3.08	2.01	13.07	3	0.307	4.94	Low
196	7.16	2.74	3.29	25.64	5	0.294	7.25	Low
159	9.43	4.51	13.06	22.82	0	0.096	6.48	Low
123	5.08	3.6	3.19	22.1	4	0.376	5.89	High
119	6.74	1.71	6.97	15.26	1	0.651	7.83	High
53	3.96	0.53	2.19	23.45	1	0.481	7.5	Low
198	7.33	1.22	3.57	15.47	4	0.386	7.3	Low
84	2.35	3.51	4.03	17.76	1	0.442	7.75	Medium
67	9.37	1.9	0.93	21.43	4	0.596	4.96	Medium
56	6.65	0.34	4.5	24.5	1	0.414	6.23	Low
129	3.7	2.64	2.73	11.14	2	0.577	8.25	Medium
124	9.21	2.43	14.99	30.9	2	0.146	5.69	High
34	3.05	1.7	4.84	18.74	3	0.512	7.89	Medium
153	9.47	3.31	2.49	20.43	3	0.317	6.74	High
173	9.69	2.12	3.06	15.88	0	0.371	10	Low
98	9.52	0.87	2.21	11.5	3	0.344	6.9	High
169	0.5	0.56	4.14	16.88	3	0.037	6.15	High
57	1.16	1.78	8.17	8.05	3	0.39	6.8	High
37	5.59	2.79	1.61	12.01	2	0.472	5.93	Medium
142	3.21	6.4	1.1	0.23	2	0.211	7.93	High
132	2.67	0.31	1.65	19.9	2	0.298	8.4	Medium
44	6.79	1.2	0.2	24.56	4	0.516	6.19	Medium
66	5.79	3.2	3.15	26.08	4	0.215	5.24	Medium
59	9.58	1.12	2.02	27.6	5	0.406	7.86	Low
28	11.57	1.45	3.43	9.6	6	0.476	5.73	Low
43	7.87	4.32	8.56	35.33	1	0.438	8.3	High
87	7.54	1.59	4.67	22.34	1	0.26	6.28	Low
20	3.81	2.14	2.56	6.52	3	0.375	5.9	Low
151	7.26	3.21	1.27	15.77	0	0.56	3.92	Medium
79	5.72	3.89	5.27	7.44	2	0.265	8.97	High
150	5.34	1.46	14.75	19.53	4	0.315	8.22	Medium
59	9.58	1.12	2.02	27.6	5	0.406	7.86	Low
26	9.96	1.49	10.25	24.1	4	0.333	8.15	High
42	5.94	0.95	4.86	18.75	4	0.463	3.84	High
182	9.46	3.93	4.14	25.38	1	0.193	3.9	High
28	4.73	2.75	10.62	24.99	2	0.387	7.59	Low
60	0.5	0.4	1.64	21.58	3	0.76	8.38	High
67	9.02	2.08	0.98	29.35	6	0.173	8.75	Low
169	0.5	0.56	4.14	16.88	3	0.037	6.15	High
91	11.7	2.06	9.15	14.5	2	0.397	7.34	Low
129	3.15	2.69	0.37	31.12	3	0.132	7.82	High
198	7.63	3.12	2.84	12.76	3	0.176	7.52	Medium
59	11.79	2.09	7.72	13.65	2	0.613	7.62	High

二．代码
import pandas as pd
import matplotlib.pyplot as plt
from sklearn import tree
from sklearn.preprocessing import LabelEncoder
from io import StringIO
import matplotlib

# =================== 设置中文字体 ===================
# 方法1: 使用系统字体（推荐）
try:
    # Windows系统
    matplotlib.font_manager.fontManager.addfont("C:\\Windows\\Fonts\\simhei.ttf")
    matplotlib.rcParams['font.sans-serif'] = ['SimHei']  # 用来正常显示中文标签
    matplotlib.rcParams['axes.unicode_minus'] = False  # 用来正常显示负号
    print("使用SimHei字体")
except:
    try:
        # macOS系统
        matplotlib.font_manager.fontManager.addfont("/System/Library/Fonts/PingFang.ttc")
        matplotlib.rcParams['font.sans-serif'] = ['PingFang SC']  # 用来正常显示中文标签
        matplotlib.rcParams['axes.unicode_minus'] = False  # 用来正常显示负号
        print("使用PingFang SC字体")
    except:
        try:
            # Linux系统
            matplotlib.font_manager.fontManager.addfont("/usr/share/fonts/truetype/droid/DroidSansFallbackFull.ttf")
            matplotlib.rcParams['font.sans-serif'] = ['Droid Sans Fallback']  # 用来正常显示中文标签
            matplotlib.rcParams['axes.unicode_minus'] = False  # 用来正常显示负号
            print("使用Droid Sans Fallback字体")
        except:
            print("未找到中文字体，使用默认字体")
            # 方法2: 使用matplotlib自带的字体
            font_list = matplotlib.font_manager.findSystemFonts(fontpaths=None, fontext='ttf')
            chinese_fonts = [f for f in font_list if any(keyword in f.lower() for keyword in ['msyh', 'simhei', 'simsun', 'pingfang'])]
            if chinese_fonts:
                font_path = chinese_fonts[0]
                font_name = matplotlib.font_manager.FontProperties(fname=font_path).get_name()
                matplotlib.rcParams['font.sans-serif'] = [font_name]
                matplotlib.rcParams['axes.unicode_minus'] = False
                print(f"使用字体: {font_name}")

# =================== CSV数据 ===================
csv_data = """Num_Workers_On_Site,Avg_Experience_Years,Weather_Severity_Index,Equipment_Age_Years,Safety_Training_Hours_Year,Near_Miss_Reports_Last_Month,Overtime_Ratio,Compliance_Score,Risk_Level
117,10.47,1.45,18.09,23.08,4,0.199,4.91,High
192,10.71,2.44,17.13,24.02,2,0.536,4.86,High
114,4.41,5.17,13.42,19.5,2,0.653,6.68,High
199,7.03,1.5,3.19,3.79,1,0.183,8.58,Medium
26,4.72,2.92,15.91,20.37,4,0.709,5.16,High
107,4.58,5.13,6.37,22.12,1,0.345,8.26,Medium
49,8.72,2.75,3.13,20.03,3,0.484,6.91,Low
91,11.7,2.06,9.15,14.5,2,0.397,7.34,Low
178,5.06,1.15,2.26,0,3,0.305,7.18,High
66,4.26,3.41,0.2,22.27,3,0.24,6.19,Low
184,6.67,6.35,10.39,13.31,2,0.729,8.91,Medium
130,8.27,2.59,3.22,14.02,5,0.405,7.4,High
78,8.08,3.71,0.87,24.43,3,0.112,8.34,Medium
110,7.83,6.51,1.61,27.87,2,0.129,7.12,Medium
163,8.09,1.2,0.82,22.13,3,0.09,7.78,Medium
89,0.5,0.86,1.33,14.62,3,0.323,6.67,Low
179,0.5,2.53,1.01,21.39,0,0.285,9.01,Medium
28,4.96,2.03,7.71,23.82,3,0.139,6.61,Medium
148,5.76,4.52,5.32,7.27,2,0.169,8.05,Medium
155,7.91,2.34,4.66,23.03,3,0.254,6.17,Medium
40,9.41,6.55,5.03,26.03,3,0.258,8.54,Low
167,2.2,3.18,0.71,16.37,2,0.344,8.64,Low
30,13.18,2.92,3.9,28.15,4,0.707,6.64,Medium
130,8.06,1.75,5.06,15.21,2,0.456,7.05,Medium
71,9.67,2.82,20.05,35.4,1,0.267,6.19,Medium
109,8.26,2.39,6.47,25.05,5,0.341,6.02,Low
111,10.18,3.16,15.24,29.04,1,0.32,5.65,Medium
147,7.08,3.71,0.31,18.67,4,0.82,8,High
28,11.57,1.45,3.43,9.6,6,0.476,5.73,Low
46,6.73,2.47,4.56,12.71,1,0.435,6.65,Low
23,6.03,2.06,3.65,23.3,4,0.221,10,Low
97,3.65,2,4.34,17.88,1,0.405,10,Low
169,0.5,0.56,4.14,16.88,3,0.037,6.15,High
46,5.08,6.18,0.81,18.07,6,0.866,5.93,High
200,10.92,5.77,4.54,22.01,5,0.161,7.01,Low
126,5.93,1.45,1.08,17.48,3,0.153,9.1,High
135,8.33,2.15,4.22,7.58,3,0.566,8.46,Medium
173,8.32,4.2,3.28,16.84,3,0.746,7.48,High
189,9.12,2.63,4.14,12.83,1,0.629,6.88,Medium
155,2.21,3.18,9.35,21.84,4,0.134,5.71,Medium
173,7.9,5.2,1.32,23.61,7,0.602,10,Medium
136,8.17,6.78,0.58,21.85,4,0.541,8.09,High
196,2.55,2.77,5.67,25.67,3,0.26,8.54,Medium
57,5.18,0.58,1.79,24.54,4,0.646,10,Medium
181,10.14,1.62,7.69,12.46,2,0.362,6.27,Medium
193,8.71,1.22,0.46,19.49,4,0.514,7.48,High
111,10.18,3.16,15.24,29.04,1,0.32,5.65,Medium
23,9.24,9.04,3.63,20.12,2,0.142,6.18,Medium
145,10.69,3.34,2.45,21.63,6,0.639,9.43,Low
63,1.37,2.13,1.41,17.95,2,0.728,5.11,Low
150,2.28,2.81,7.06,18.32,3,0.271,6.1,Low
196,7.16,2.74,3.29,25.64,5,0.294,7.25,Low
185,5.24,2.6,0.2,18.11,3,0.372,8.02,Low
125,7.26,5.29,4.2,22.48,3,0.277,7.69,Low
176,5.43,3.33,14.44,9.68,3,0.067,6.59,High
150,5.34,1.46,14.75,19.53,4,0.315,8.22,Medium
151,7.91,0.99,3.12,15.23,4,0.577,2.49,High
200,8.44,0.75,7.3,31.95,3,0.563,9.69,Low
188,6.06,2.15,2.85,24.61,1,0.101,7.36,Low
26,4.72,2.92,15.91,20.37,4,0.709,5.16,High
107,5.51,5.53,0.57,18.92,2,0.464,8.3,Medium
129,3.15,2.69,0.37,31.12,3,0.132,7.82,High
116,0.5,4.99,0.39,24.64,5,0.582,5.04,High
38,5.67,1.53,4.08,30.15,4,0.069,5.99,Low
78,8.08,3.71,0.87,24.43,3,0.112,8.34,Medium
189,9.12,2.63,4.14,12.83,1,0.629,6.88,Medium
89,6.47,4.16,0.2,32.97,2,0.147,5.66,Low
171,6.74,2.43,0.2,15.44,3,0.264,9.16,Medium
133,9.58,1.07,10.99,17.36,1,0.319,8.99,Low
97,2.47,0.66,3.27,16.32,2,0.677,4.63,High
155,3.63,4.78,3.57,31.14,5,0.193,8.47,Low
158,1.48,2.02,3.86,28.4,2,0.208,8.46,Medium
195,6.67,4.85,6.88,14.57,8,0.693,9.46,High
98,9.52,0.87,2.21,11.5,3,0.344,6.9,High
83,4.99,3.21,1.1,12.96,7,0.023,4.15,Medium
57,3.47,0.83,5.86,14.13,2,0.319,3.34,High
133,8.98,1.18,10.23,24.38,3,0.567,5.72,High
38,6.18,2.88,2.51,14.93,5,0.129,9.62,Medium
43,3.64,4,11.15,18.34,4,0.43,8.02,High
75,4.94,6.45,0.2,28.8,2,0.355,1.87,High
171,6.74,2.43,0.2,15.44,3,0.264,9.16,Medium
198,3.63,2.33,16.61,15.6,3,0.678,4.82,Medium
156,8.17,3.37,9.81,25.03,5,0.451,9.13,Medium
48,7.34,2.81,13.6,13.2,5,0.209,7.18,Low
50,5.85,1.09,17.57,21.65,3,0.557,7.11,High
91,0.84,1.63,0.68,30.53,0,0.653,8.26,Medium
57,1.16,1.78,8.17,8.05,3,0.39,6.8,High
52,7.14,1.59,5.95,19.57,4,0.29,7.38,Low
58,6.87,5.2,3.2,12.88,3,0.413,7.26,Medium
40,5.58,1.17,0.83,10.65,3,0.326,8.85,Low
130,6.19,1.83,0.62,21.83,3,0.191,7.62,Low
191,5.82,0.59,5.34,13.13,2,0.29,9.19,Low
197,10.61,3.38,1.03,33.77,2,0.454,7.21,Medium
76,4.53,1.76,15.46,22.68,0,0.61,4.54,High
146,5.17,5.43,4.25,36.69,2,0.367,8.64,Medium
158,7.99,4.95,11.72,26.58,7,0.409,4.08,High
129,3.7,2.64,2.73,11.14,2,0.577,8.25,Medium
185,5.24,2.6,0.2,18.11,3,0.372,8.02,Low
98,2.48,2.52,0.97,10.64,2,0.442,6.27,Low
183,11.3,4.43,30,5.62,2,0.545,8,High
22,8.37,1.35,1.19,22.38,5,0.492,8.05,Low
167,7.47,2.17,1.2,23.61,1,0.263,10,Low
199,5.45,0.99,0.35,22.44,3,0.107,4.21,High
149,9.17,3.27,5.06,18.72,4,0.59,7.07,High
157,6.86,5.54,2.36,33.42,1,0.229,5.48,High
57,9.77,5.37,1.22,13.19,4,0.431,6.44,Medium
120,0.5,2.2,0.49,30.21,2,0.498,7.71,Medium
160,7.42,2.95,20.8,15.59,4,0.183,8.4,Medium
174,0.5,0.94,5.71,23.11,0,0.452,5.58,High
52,7.79,2.81,0.32,13.25,2,0.358,9.83,Low
60,1.08,1.91,1.51,14.05,7,0.327,8.32,Low
138,1.41,1.7,0.92,16.62,4,0.658,5.09,High
42,8.97,2.29,0.97,18.29,2,0.171,8.64,High
116,4.9,3.54,1.62,19.35,3,0.232,9.31,High
141,6.49,1.36,1.4,21.86,4,0.347,5.03,Medium
169,10.11,4.45,6.37,14.12,5,0.081,4.11,High
39,7.84,0.47,2.02,18.71,1,0.192,10,Low
142,3.21,6.4,1.1,0.23,2,0.211,7.93,High
78,3.7,5.23,3.24,13.33,1,0.553,10,High
23,3.14,3.14,1.69,12.95,2,0.227,5.12,Medium
137,3.56,4.03,8.47,5.86,5,0.546,10,High
57,5.18,0.58,1.79,24.54,4,0.646,10,Medium
143,6.16,3.81,21.25,6.36,2,0.52,3.36,High
26,9.96,1.49,10.25,24.1,4,0.333,8.15,High
40,1.9,1.13,1.7,25.27,3,0.363,7.54,Low
71,7.2,3.89,4.15,27.56,5,0.27,6.16,Low
183,4.38,1.8,2.13,9.44,1,0.756,9.08,Low
104,13.03,1.69,3.93,28.8,1,0.244,6.96,Low
165,3.33,2.02,1.18,35.61,3,0.667,8.04,Medium
80,3.65,1.08,12.66,12.74,6,0.291,4.98,Medium
184,6.67,6.35,10.39,13.31,2,0.729,8.91,Medium
144,1.6,4.7,1.03,30.29,1,0.57,7.2,Medium
87,7.54,1.59,4.67,22.34,1,0.26,6.28,Low
23,6.03,2.06,3.65,23.3,4,0.221,10,Low
27,3.1,0.47,0.34,22.05,2,0.266,3.02,Low
148,7.54,5.92,0.72,15.49,1,0.108,8.21,Low
125,11.61,3.66,1.26,19.01,6,0.271,5.9,Medium
149,9.17,3.27,5.06,18.72,4,0.59,7.07,High
113,14.21,1.34,0.55,17.31,5,0.503,4.16,High
52,9.64,3.77,0.2,18.89,2,0.327,9.65,Low
183,2.9,3.62,2.26,11.04,3,0.745,7.09,Medium
101,8.8,0.3,13.62,13.43,7,0.297,5.77,High
54,4.99,2.14,3.23,26.85,3,0.333,6.69,Low
161,2.94,2.96,6.97,25.88,2,0.255,3.11,High
200,10.92,5.77,4.54,22.01,5,0.161,7.01,Low
46,6.73,2.47,4.56,12.71,1,0.435,6.65,Low
179,3.97,4.64,8.33,18.47,1,0.256,7.28,High
184,9,1.11,14.02,1.68,4,0.208,10,Low
140,5.8,1.37,2.27,32.08,5,0.578,6.07,Medium
69,3.53,1.17,9.24,34.24,3,0.501,8.74,Low
57,3.47,0.83,5.86,14.13,2,0.319,3.34,High
123,0.5,0.07,5.94,20.46,2,0.307,5.31,Medium
167,7.47,2.17,1.2,23.61,1,0.263,10,Low
80,6.89,7.24,3.84,29.32,4,0.604,7.93,High
159,5.1,0.8,3.62,10.71,5,0.313,3.26,High
112,9.68,0.66,8.22,24.25,4,0.311,6.64,Medium
57,9.77,5.37,1.22,13.19,4,0.431,6.44,Medium
173,7.38,3.08,2.01,13.07,3,0.307,4.94,Low
196,7.16,2.74,3.29,25.64,5,0.294,7.25,Low
159,9.43,4.51,13.06,22.82,0,0.096,6.48,Low
123,5.08,3.6,3.19,22.1,4,0.376,5.89,High
119,6.74,1.71,6.97,15.26,1,0.651,7.83,High
53,3.96,0.53,2.19,23.45,1,0.481,7.5,Low
198,7.33,1.22,3.57,15.47,4,0.386,7.3,Low
84,2.35,3.51,4.03,17.76,1,0.442,7.75,Medium
67,9.37,1.9,0.93,21.43,4,0.596,4.96,Medium
56,6.65,0.34,4.5,24.5,1,0.414,6.23,Low
129,3.7,2.64,2.73,11.14,2,0.577,8.25,Medium
124,9.21,2.43,14.99,30.9,2,0.146,5.69,High
34,3.05,1.7,4.84,18.74,3,0.512,7.89,Medium
153,9.47,3.31,2.49,20.43,3,0.317,6.74,High
173,9.69,2.12,3.06,15.88,0,0.371,10,Low
98,9.52,0.87,2.21,11.5,3,0.344,6.9,High
169,0.5,0.56,4.14,16.88,3,0.037,6.15,High
57,1.16,1.78,8.17,8.05,3,0.39,6.8,High
37,5.59,2.79,1.61,12.01,2,0.472,5.93,Medium
142,3.21,6.4,1.1,0.23,2,0.211,7.93,High
132,2.67,0.31,1.65,19.9,2,0.298,8.4,Medium
44,6.79,1.2,0.2,24.56,4,0.516,6.19,Medium
66,5.79,3.2,3.15,26.08,4,0.215,5.24,Medium
59,9.58,1.12,2.02,27.6,5,0.406,7.86,Low
28,11.57,1.45,3.43,9.6,6,0.476,5.73,Low
43,7.87,4.32,8.56,35.33,1,0.438,8.3,High
87,7.54,1.59,4.67,22.34,1,0.26,6.28,Low
20,3.81,2.14,2.56,6.52,3,0.375,5.9,Low
151,7.26,3.21,1.27,15.77,0,0.56,3.92,Medium
79,5.72,3.89,5.27,7.44,2,0.265,8.97,High
150,5.34,1.46,14.75,19.53,4,0.315,8.22,Medium
59,9.58,1.12,2.02,27.6,5,0.406,7.86,Low
26,9.96,1.49,10.25,24.1,4,0.333,8.15,High
42,5.94,0.95,4.86,18.75,4,0.463,3.84,High
182,9.46,3.93,4.14,25.38,1,0.193,3.9,High
28,4.73,2.75,10.62,24.99,2,0.387,7.59,Low
60,0.5,0.4,1.64,21.58,3,0.76,8.38,High
67,9.02,2.08,0.98,29.35,6,0.173,8.75,Low
169,0.5,0.56,4.14,16.88,3,0.037,6.15,High
91,11.7,2.06,9.15,14.5,2,0.397,7.34,Low
129,3.15,2.69,0.37,31.12,3,0.132,7.82,High
198,7.63,3.12,2.84,12.76,3,0.176,7.52,Medium
59,11.79,2.09,7.72,13.65,2,0.613,7.62,High"""

# =================== 从字符串加载数据 ===================
df = pd.read_csv(StringIO(csv_data))

# 特征列（去掉目标列）
feature_columns = ['Num_Workers_On_Site', 'Avg_Experience_Years', 'Weather_Severity_Index', 
                   'Equipment_Age_Years', 'Safety_Training_Hours_Year', 'Near_Miss_Reports_Last_Month', 
                   'Overtime_Ratio', 'Compliance_Score']

X = df[feature_columns].values  # 特征矩阵
y = df['Risk_Level'].values     # 目标变量

# =================== 将目标变量编码为数字 ===================
le = LabelEncoder()
y_encoded = le.fit_transform(y)  # 例如：Low -> 0, Medium -> 1, High -> 2

print(f"数据集大小: {X.shape[0]} 个样本, {X.shape[1]} 个特征")
print(f"目标变量分布: {dict(zip(le.classes_, le.transform(le.classes_)))}")

# =================== 训练生成决策树 ===================
# 为了可视化更清晰，限制树的深度
dt_clf = tree.DecisionTreeClassifier(max_depth=4, random_state=42)
model = dt_clf.fit(X, y_encoded)

print("决策树训练完成！")

